G01,A,6/14/2018,S01,A1,A2,5,0
G02,A,6/15/2018,S04,A3,A4,0,1
G03,B,6/15/2018,S02,B3,B4,0,1
G04,B,6/15/2018,S03,B1,B2,3,3
G05,C,6/16/2018,S05,C1,C2,2,1
G06,D,6/16/2018,S11,D1,D2,1,1
G07,C,6/16/2018,S09,C3,C4,0,1
G08,D,6/16/2018,S12,D3,D4,2,0
G09,E,6/17/2018,S08,E3,E4,0,1
G10,F,6/17/2018,S01,F1,F2,0,1
G11,E,6/17/2018,S07,E1,E2,1,1
G12,F,6/18/2018,S06,F3,F4,1,0
G13,G,6/18/2018,S03,G1,G2,3,0
G14,G,6/18/2018,S10,G3,G4,1,2
G15,H,6/19/2018,S09,H3,H4,1,2
G16,H,6/19/2018,S11,H1,H2,1,2
G17,A,6/19/2018,S02,A1,A3,3,1
G18,B,6/20/2018,S01,B1,B3,1,0
G19,A,6/20/2018,S07,A4,A2,1,0
G20,B,6/20/2018,S05,B4,B2,0,1
G21,C,6/21/2018,S08,C4,C2,1,1
G22,C,6/21/2018,S04,C1,C3,1,0
G23,D,6/21/2018,S06,D1,D3,0,3
G24,E,6/22/2018,S02,E1,E3,2,0
G25,D,6/22/2018,S10,D4,D2,2,0
G26,E,6/22/2018,S12,E4,E2,1,2
G27,G,6/23/2018,S11,G1,G3,5,2
G28,F,6/23/2018,S07,F4,F2,1,2
G29,F,6/23/2018,S03,F1,F3,2,1
G30,G,6/24/2018,S06,G4,G2,6,1
G31,H,6/24/2018,S04,H4,H2,2,2
G32,H,6/24/2018,S05,H1,H3,0,3
G33,A,6/25/2018,S08,A4,A1,3,0
G34,A,6/25/2018,S10,A2,A3,2,1
G35,B,6/25/2018,S12,B2,B3,2,2
G36,B,6/25/2018,S09,B4,B1,1,1
G37,C,6/26/2018,S03,C2,C3,0,2
G38,C,6/26/2018,S01,C4,C1,1,2
G39,D,6/26/2018,S02,D4,D1,1,2
G40,D,6/26/2018,S07,D2,D3,1,2
G41,F,6/27/2018,S05,F4,F1,2,0
G42,F,6/27/2018,S04,F2,F3,0,3
G43,E,6/27/2018,S11,E4,E1,0,2
G44,E,6/27/2018,S06,E2,E3,2,2
G45,H,6/28/2018,S10,H4,H1,1,1
G46,H,6/28/2018,S08,H2,H3,1,0
G47,G,6/28/2018,S09,G2,G3,0,3
G48,G,6/28/2018,S12,G4,G1,2,0
G50,X,6/30/2018,S05,C1,D1,4,3
G49,X,6/30/2018,S03,A4,B1,2,1
G51,X,7/1/2018,S01,B2,A1,1,1
G52,X,7/1/2018,S06,D3,C4,1,1
G53,X,7/2/2018,S08,E1,F2,2,0
G54,X,7/2/2018,S07,G1,H4,3,2
G55,X,7/3/2018,S02,F3,E2,1,0
G56,X,7/3/2018,S11,H3,G4,1,1
G57,Q,7/6/2018,S06,A4,C1,0,2
G58,Q,7/6/2018,S05,E1,G1,1,2
G59,Q,7/7/2018,S03,A1,D3,2,2
G60,Q,7/7/2018,S08,F3,G4,0,2
G61,S,7/10/2018,S02,C1,G1,1,0
G62,S,7/11/2018,S01,D3,G4,2,1
G63,P,7/14/2018,S02,G1,G4,2,0
G64,L,7/15/2018,S01,C1,D3,4,2
